dataset,namespace,index_name,user_namespace,embed_model,top_k,persona,combine_strategy,rerank_strategy,update_strategy,alpha_mode,alpha_value,alpha_start,alpha_step,alpha_floor,final_alpha,case_count,mean_baseline_score,mean_post_score,mean_delta,wins,mean_baseline_rank,mean_post_rank,expected_retrieval_rate
science,science,541,users,llama-text-embed-v2,5,physics,query-only,cross-encoder,moving-average,none,,,,,,30,4.130810,4.130810,0.000000,0,4.333333,4.333333,0.400000
science,science,541,users,llama-text-embed-v2,5,physics,query-only,cross-encoder,none,none,,,,,,30,4.130810,4.130810,0.000000,0,4.333333,4.333333,0.400000
science,science,541,users,llama-text-embed-v2,5,physics,query-only,none,moving-average,none,,,,,,30,3.910088,3.910088,0.000000,0,4.433333,4.433333,0.400000
science,science,541,users,llama-text-embed-v2,5,physics,query-only,none,none,none,,,,,,30,3.910088,3.910088,0.000000,0,4.433333,4.433333,0.400000
science,science,541,users,llama-text-embed-v2,5,physics,spherical-comb,cross-encoder,moving-average,sliding,,0.990000,0.050000,0.500000,0.500000,30,4.130810,7.913013,3.782203,25,4.333333,3.000000,0.700000
science,science,541,users,llama-text-embed-v2,5,physics,spherical-comb,cross-encoder,moving-average,static,0.500000,,,,0.500000,30,4.130810,7.913013,3.782203,25,4.333333,3.000000,0.700000
science,science,541,users,llama-text-embed-v2,5,physics,spherical-comb,cross-encoder,moving-average,static,0.800000,,,,0.800000,30,4.130810,5.362770,1.231959,18,4.333333,3.933333,0.566667
science,science,541,users,llama-text-embed-v2,5,physics,spherical-comb,cross-encoder,moving-average,static,0.950000,,,,0.950000,30,4.130810,4.142443,0.011633,8,4.333333,4.366667,0.400000
science,science,541,users,llama-text-embed-v2,5,physics,spherical-comb,cross-encoder,none,sliding,,0.990000,0.050000,0.500000,0.990000,30,4.130810,4.130810,0.000000,0,4.333333,4.333333,0.400000
science,science,541,users,llama-text-embed-v2,5,physics,spherical-comb,cross-encoder,none,static,0.500000,,,,0.500000,30,4.130810,4.130810,0.000000,0,4.333333,4.333333,0.400000
science,science,541,users,llama-text-embed-v2,5,physics,spherical-comb,cross-encoder,none,static,0.800000,,,,0.800000,30,4.130810,4.130810,0.000000,0,4.333333,4.333333,0.400000
science,science,541,users,llama-text-embed-v2,5,physics,spherical-comb,cross-encoder,none,static,0.950000,,,,0.950000,30,4.130810,4.130810,0.000000,0,4.333333,4.333333,0.400000
science,science,541,users,llama-text-embed-v2,5,physics,spherical-comb,none,moving-average,sliding,,0.990000,0.050000,0.500000,0.500000,30,3.910088,7.115732,3.205644,23,4.433333,3.400000,0.700000
science,science,541,users,llama-text-embed-v2,5,physics,spherical-comb,none,moving-average,static,0.500000,,,,0.500000,30,3.910088,7.115732,3.205644,23,4.433333,3.400000,0.700000
science,science,541,users,llama-text-embed-v2,5,physics,spherical-comb,none,moving-average,static,0.800000,,,,0.800000,30,3.910088,5.807442,1.897355,23,4.433333,3.733333,0.566667
science,science,541,users,llama-text-embed-v2,5,physics,spherical-comb,none,moving-average,static,0.950000,,,,0.950000,30,3.910088,4.237600,0.327513,16,4.433333,4.333333,0.400000
